2026-05-18T17:51:11.391828300Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=79.1 fps_gdx=78 depth=2 branch=0 mobs_alive=6 mobs_in_fov=0 load=normal
2026-05-18T17:51:13.384121600Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=78.3 fps_gdx=79 depth=2 branch=0 mobs_alive=6 mobs_in_fov=0 load=normal
2026-05-18T17:51:15.398871100Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=76.4 fps_gdx=77 depth=2 branch=0 mobs_alive=6 mobs_in_fov=0 load=normal
2026-05-18T17:51:17.385541300Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=72.0 fps_gdx=76 depth=2 branch=0 mobs_alive=6 mobs_in_fov=0 load=normal
2026-05-18T17:51:19.410708800Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=75.1 fps_gdx=80 depth=2 branch=0 mobs_alive=6 mobs_in_fov=0 load=normal
2026-05-18T17:51:21.406689600Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=75.1 fps_gdx=73 depth=2 branch=0 mobs_alive=6 mobs_in_fov=0 load=normal
2026-05-18T17:51:23.402161700Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=76.7 fps_gdx=80 depth=2 branch=0 mobs_alive=6 mobs_in_fov=0 load=normal
2026-05-18T17:51:25.403772900Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=77.5 fps_gdx=77 depth=2 branch=0 mobs_alive=6 mobs_in_fov=2 load=normal
2026-05-18T17:51:27.433805200Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=77.2 fps_gdx=81 depth=3 branch=0 mobs_alive=8 mobs_in_fov=0 load=normal
2026-05-18T17:51:29.456442700Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=77.1 fps_gdx=78 depth=3 branch=0 mobs_alive=8 mobs_in_fov=0 load=normal
2026-05-18T17:51:31.447891900Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=76.8 fps_gdx=80 depth=3 branch=0 mobs_alive=8 mobs_in_fov=0 load=normal
2026-05-18T17:51:33.444063900Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=77.7 fps_gdx=80 depth=3 branch=0 mobs_alive=8 mobs_in_fov=0 load=normal
2026-05-18T17:51:35.462734500Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=76.8 fps_gdx=78 depth=3 branch=0 mobs_alive=8 mobs_in_fov=3 load=normal
2026-05-18T17:51:37.452243800Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=78.4 fps_gdx=78 depth=3 branch=0 mobs_alive=8 mobs_in_fov=3 load=normal
2026-05-18T17:51:39.434165200Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=77.7 fps_gdx=76 depth=3 branch=0 mobs_alive=8 mobs_in_fov=3 load=normal
2026-05-18T17:51:41.468950400Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=64.4 fps_gdx=59 depth=3 branch=0 mobs_alive=8 mobs_in_fov=3 load=normal
2026-05-18T17:51:43.455769100Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=21.1 fps_gdx=29 depth=3 branch=0 mobs_alive=8 mobs_in_fov=3 load=normal
2026-05-18T17:51:45.463772800Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=33.4 fps_gdx=33 depth=3 branch=0 mobs_alive=8 mobs_in_fov=3 load=normal
2026-05-18T17:51:47.470218900Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=33.9 fps_gdx=36 depth=3 branch=0 mobs_alive=8 mobs_in_fov=3 load=normal
2026-05-18T17:51:49.462041700Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=32.6 fps_gdx=33 depth=3 branch=0 mobs_alive=8 mobs_in_fov=3 load=normal
2026-05-18T17:51:51.441072500Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=35.9 fps_gdx=36 depth=3 branch=0 mobs_alive=8 mobs_in_fov=3 load=normal
2026-05-18T17:51:53.460898800Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=35.2 fps_gdx=40 depth=3 branch=0 mobs_alive=8 mobs_in_fov=3 load=normal
2026-05-18T17:51:55.461959400Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=35.0 fps_gdx=36 depth=3 branch=0 mobs_alive=8 mobs_in_fov=3 load=normal
2026-05-18T17:51:57.440105100Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=36.4 fps_gdx=39 depth=3 branch=0 mobs_alive=8 mobs_in_fov=3 load=normal
2026-05-18T17:51:59.455739400Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=33.3 fps_gdx=31 depth=3 branch=0 mobs_alive=8 mobs_in_fov=3 load=normal
2026-05-18T17:52:01.467387600Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=35.8 fps_gdx=40 depth=3 branch=0 mobs_alive=8 mobs_in_fov=3 load=normal
